vertex_1,vertex_2,diameter,length,flow_rate,rbc_velocity,ht,rbc_probability
21,42,6.486865997399999e-06,3.112022690677112e-05,7.604001051558198e-17,3.1218062498671957e-06,0.3,0.3333333333333333
21,6552,5.9523482322e-06,8.547969471230953e-05,-1.1223851448336639e-16,-5.383354231288143e-06,0.3,0.3333333333333333
21,43,6.5180640220000005e-06,4.11912947186366e-05,3.619850396778435e-17,1.4731564088878622e-06,0.3,0.3333333333333333
22,6552,4.449455261199999e-06,2.870601334439801e-05,-2.8781074756678847e-16,-2.287264821158279e-05,0.3,0.3333333333333333
22,34,6.291178226399999e-06,1.0292528739883944e-05,3.8570130405431e-16,1.674246092319618e-05,0.3,0.3333333333333333
23,290,6.9379057884e-06,0.0001500912736121,-4.856886692875901e-17,-1.7622035622463736e-06,0.3,0.47174900278290194
23,71,2.6174137115999995e-05,4.278388073296751e-05,2.023988967077485e-15,5.124777926482823e-06,0.3,0.6316733371150907
24,105,4.620610713999999e-06,0.0001797179616522,-5.624579064206923e-17,-4.194076868862334e-06,0.3,0.5535782805180401
24,149,1.91862010956e-05,4.940862690044403e-05,-1.4499143562021798e-15,-6.988520704516808e-06,0.3,0.6164257569981546
25,94,4.5049853324e-06,3.248795220473156e-05,1.671001025047039e-16,1.30052970495433e-05,0.3,0.09182451302174503
25,6557,2.4656403064e-06,6.811609816056008e-05,1.5058838154730576e-17,3.153858049418525e-06,0.3,0.9737531854673035
26,41,2.4587109088e-06,0.0001220100064352,1.3126699890252368e-19,2.764717354764296e-08,0.3,0.3333333333333333
26,29,4.2097854614e-06,7.560477932315066e-06,-2.439048170738946e-16,-2.1262960291689704e-05,0.3,0.3333333333333333
26,30,3.7579767704e-06,1.8095647359318297e-05,2.437735500749923e-16,2.5614879414009905e-05,0.3,0.3333333333333333
27,339,2.9870796204e-06,0.0001040742225992,-1.3595153136987956e-17,-2.0643316943997782e-06,0.3,0.4501658819931694
27,49,5.534103393599999e-06,2.1416884392866083e-05,-9.013034253798344e-16,-4.920633456201522e-05,0.3,0.6051491927668495
28,49,2.4586863518e-06,0.00011003264411,3.027831387105088e-18,6.377280864696023e-07,0.3,0.25
28,31,2.9136083126e-06,4.089876597875265e-05,-9.098652772196879e-18,-1.4371224632610507e-06,0.3,0.25
28,97,3.4137833118e-06,3.590216576710466e-05,2.4770118214585254e-17,3.040060194778353e-06,0.3,0.25
28,47,3.1996033192e-06,4.8822840462817134e-05,-1.8699296829493558e-17,-2.545620566907832e-06,0.3,0.25
29,45,3.922457933399999e-06,6.82842712474619e-06,-2.0075104489209708e-17,-1.9667783767072063e-06,0.3,1.0
30,47,2.9750812054000003e-06,7.665126758756335e-05,1.8623275117027602e-17,2.8459055664969278e-06,0.3,0.3026413800738704
30,53,4.1048116684e-06,3.319202367649561e-05,2.2515027495796394e-16,2.0467325757127533e-05,0.3,0.6890708104378618
31,529,3.5507628918000003e-06,0.0001289907685487,2.5130147217970202e-17,2.8949389298110007e-06,0.3,0.2569550309827634
31,182,4.348156452199999e-06,4.663348761681452e-05,-3.4228799990167494e-17,-2.827308914879589e-06,0.3,0.7299244535716901
32,39,3.2e-05,9.048236554280252e-05,-5.758739636231991e-14,-9.580334975472885e-05,0.3,0.3333333333333333
32,1539,8e-06,0.0003865390991984,2.724454301859972e-15,7.566139912833044e-05,0.3,0.3333333333333333
32,93,3.2e-05,0.0003678808391043,5.4862942060461436e-14,9.1270902294706e-05,0.3,0.3333333333333333
33,6552,7.6903557778e-06,1.187831517751085e-05,1.6651287818096537e-15,4.9834487777323006e-05,0.3,0.16775465283079352
33,209,4.368295192799999e-06,4.406960989614744e-05,2.077017255261448e-16,1.7024043379205713e-05,0.3,0.9082553326612639
34,36,5.261778354599999e-06,6.667584713501614e-05,3.225559215620818e-16,1.9238628688178456e-05,0.3,0.21749777565449374
34,117,5.140048027e-06,4.79520538198693e-05,6.314538249223405e-17,3.922701636753588e-06,0.3,0.7848595495294086
35,96,1.8000000000000004e-05,0.000314493391963,-1.0194629712339026e-14,-5.603936118916369e-05,0.3,0.23429110002193138
35,132,6.8884568214e-06,3.358432852190888e-05,4.937200077054821e-15,0.0001815201015326,0.3,0.8782968444118016
36,6552,6.4689407348e-06,8.508933173953023e-05,-1.265079519759514e-15,-5.220049979448528e-05,0.3,0.22369789558687053
36,40,5.9523482322e-06,9.28179827587471e-05,1.587635441321595e-15,7.614858420144407e-05,0.3,0.7844980292793474
37,40,4.351111888799999e-06,6.335800988982035e-05,2.1342905729313971e-16,1.7609272613148954e-05,0.3,0.3333333333333333
37,194,3.836904049e-06,6.647969471230951e-05,-1.3315953432341958e-16,-1.3525443040311437e-05,0.3,0.3333333333333333
38,52,7.2691545486e-06,2.70204508012418e-05,1.2259235778418753e-15,4.0784338143533215e-05,0.3,0.17720633446317344
38,121,4.7375469208e-06,4.97804809446155e-05,-3.042035554677281e-16,-2.174060412771691e-05,0.3,0.8792621221941114
39,46,3.6257427216000005e-05,0.0003229740085629,-1.1643146966198445e-13,-0.0001489812390212,0.3,0.2910016525476902
39,136,2e-05,0.0003631086156521,5.884407329966455e-14,0.0002603275252396,0.3,0.7409604344869236
40,157,1.2e-05,9.73859892256252e-05,1.8010644986147375e-15,2.259695302580229e-05,0.3,1.0
41,86,3.187918424599999e-06,3.9412755646655066e-05,6.935940290884814e-18,9.497426007109484e-07,0.3,0.13949135618352249
